,Rank,Code,Company,Sector,Mkt Cap,Code_asx,Annual % increase,Volatility
1051,1211,MYE,Metarock Group Ltd,Materials,$49.12 M,MYE.AX,-54.82,0.5979381716695921
1052,1212,SWF,Selfwealth Ltd,Financials,$48.5 M,SWF.AX,-54.95,0.6367754356562597
1053,1213,ASW,Advanced Share Registry Ltd,Financials,$48.35 M,ASW.AX,22.3,3.5823222355669766
1054,1214,CUE,CUE Energy Resources Ltd,Energy,$48.17 M,CUE.AX,6.15,0.48256071772926645
1055,1215,CPH,Creso Pharma Ltd,Health Care,$47.97 M,CPH.AX,-73.57,0.6443973624424063
1056,1216,EMKT,Vaneck MSCI Multifactor Em Markets Equity ETF,Financials,$47.94 M,EMKT.AX,-12.15,0.16262220374538175
1057,1217,NWC,New World Resources Ltd,Materials,$47.91 M,NWC.AX,-60.99,0.6318715085851886
1058,1218,MEK,Meeka Gold Ltd,Materials,$47.86 M,MEK.AX,-11.86,0.7546568823123535
1059,1219,MMI,Metro Mining Ltd,Materials,$47.82 M,MMI.AX,0.0,0.953489753532766
1060,1220,PAL,Palla Pharma Ltd,Health Care,$47.76 M,PAL.AX,-20.27,0.6002106705822735
1061,1221,PX1,Plexure Group Ltd,Information Technology,$47.73 M,PX1.AX,-79.23,0.6380714638107194
1062,1222,FBR,FBR Ltd,Industrials,$47.72 M,FBR.AX,-52.63,0.6835963146336644
1063,1223,KTG,K-Tig Ltd,Industrials,$47.09 M,KTG.AX,-37.35,0.6769062547867605
1064,1224,FHE,Frontier Energy Ltd,Materials,$47.02 M,FHE.AX,46.43,0.5988348684560226
1065,1225,EDC,Eildon Capital Group,Financials,$46.97 M,EDC.AX,-3.4,0.21283172672836342
1066,1226,GRX,Greenx Metals Ltd,Materials,$46.92 M,GRX.AX,-29.6,0.7613574876710795
1067,1227,SPN,Sparc Technologies Ltd,Materials,$46.9 M,SPN.AX,148.21,1.1102824544144296
1068,1228,EBG,Eumundi Group Ltd,Consumer Discretionary,$46.76 M,EBG.AX,6.86,0.18866635703105983
1069,1229,GEN,Genmin Ltd,Materials,$46.74 M,GEN.AX,-17.5,0.8182118275472577
1070,1230,AMS,Atomos Ltd,Consumer Discretionary,$46.69 M,AMS.AX,-77.9,0.9838077870591717
1071,1231,TTT,Titomic Ltd,Materials,$46.58 M,TTT.AX,-41.77,0.9518157717966323
1072,1232,MXC,MGC Pharmaceuticals Ltd,Health Care,$46.38 M,MXC.AX,-54.05,0.9015220293172881
1073,1233,MPP,Metro Performance Glass Ltd,Industrials,$46.34 M,MPP.AX,-35.07,0.3567973908951507
1074,1234,BIT,Biotron Ltd,Health Care,$46.33 M,BIT.AX,37.5,1.2694352646834264
1075,1235,SNS,Sensen Networks Ltd,Information Technology,$46.23 M,SNS.AX,-52.67,0.8275339505576296
1076,1236,BBX,BBX Minerals Ltd,Materials,$46 M,BBX.AX,-62.26,0.9000445541588266
1077,1237,BNL,Blue Star Helium Ltd,Energy,$46 M,BNL.AX,-14.71,0.848015187095603
1078,1238,PNC,Pioneer Credit Ltd,Financials,$45.9 M,PNC.AX,-10.87,0.538091345510681
1079,1239,PPG,Pro-Pac Packaging Ltd,Materials,$45.83 M,PPG.AX,-71.75,0.5561626626698701
1080,1240,IAM,Income Asset Management Group Ltd,Financials,$45.58 M,IAM.AX,-45.9,0.7853058878562775
1081,1241,CPV,Clearvue Technologies Ltd,Industrials,$45.52 M,CPV.AX,-48.81,0.8934335721186402
1082,1242,HRZ,Horizon Minerals Ltd,Materials,$45.44 M,HRZ.AX,-33.33,0.7840900883947618
1083,1243,FFI,FFI Holdings Ltd,Consumer Staples,$45.41 M,FFI.AX,-40.56,0.466737510746594
1084,1244,STP,Step One Clothing Ltd,Consumer Discretionary,$45.41 M,STP.AX,-83.99,1.2163532576518556
1085,1245,PPL,Pureprofile Ltd,Communication Services,$45.39 M,PPL.AX,51.85,0.7428631242905728
1086,1246,LKO,Lakes Blue Energy NL,Energy,$45.3 M,LKO.AX,0.0,1.9021886835763857
1087,1247,KRM,Kingsrose Mining Ltd,Materials,$45.15 M,KRM.AX,15.39,0.6746754295689256
1088,1248,MRC,Mineral Commodities Ltd,Materials,$44.94 M,MRC.AX,-58.62,0.8159818127136141
1089,1249,ECL,Excelsior Capital Ltd,Industrials,$44.36 M,ECL.AX,-6.42,0.2664926747426091
1090,1250,RTE,Retech Technology Co. Ltd,Consumer Discretionary,$44.25 M,RTE.AX,-24.0,0.4785536962529027
1091,1251,RSH,Respiri Ltd,Health Care,$44.19 M,RSH.AX,-18.31,0.7492692720707295
1092,1252,KKO,Kinetiko Energy Ltd,Energy,$43.78 M,KKO.AX,-41.47,0.6444620708814733
1093,1253,AVA,AVA Risk Group Ltd,Information Technology,$43.73 M,AVA.AX,-51.35,0.5802219268294758
1094,1254,ASP,Aspermont Ltd,Communication Services,$43.73 M,ASP.AX,-35.71,0.6966114324945917
1095,1255,FME,Future Metals NL,Materials,$43.29 M,FME.AX,-34.09,0.7684479959301724
1096,1256,AAR,Astral Resources NL,Materials,$42.92 M,AAR.AX,-11.11,0.5916163712780661
1097,1257,MPX,Mustera Property Group Ltd,Real Estate,$42.55 M,MPX.AX,-1.67,0.18680135003806603
1098,1258,LRT,Lowell Resources Fund,Financials,$42.53 M,LRT.AX,-9.38,0.3396894340699605
1099,1259,WLD,Wellard Ltd,Consumer Staples,$42.5 M,WLD.AX,31.15,0.7614558605773758
1100,1260,EIQ,Echoiq Ltd,Information Technology,$42.4 M,EIQ.AX,0.0,0.7738617679777628
1101,1261,RXL,ROX Resources Ltd,Materials,$42.24 M,RXL.AX,-42.53,0.7111915197420802
1102,1262,GSR,Greenstone Resources Ltd,Materials,$42.02 M,GSR.AX,127.78,1.0207470113438974
1103,1263,AYA,ARTRYA Ltd,Health Care,$41.97 M,AYA.AX,-50.37,0.9465519354956186
1104,1264,FSI,Flagship Investments Ltd,Financials,$41.89 M,FSI.AX,-29.57,0.3419984942202689
1105,1265,AHF,Australian Dairy Nutritionals Group,Consumer Staples,$41.69 M,AHF.AX,52.0,0.6614827874350537
1106,1266,LVT,Livetiles Ltd,Information Technology,$41.54 M,LVT.AX,-70.97,0.6867529600467372
1107,1267,3DA,Amaero International Ltd,Industrials,$41.4 M,3DA.AX,-70.09,0.771489205927588
1108,1268,CV1,CV Check Ltd,Information Technology,$41.25 M,CV1.AX,-32.14,0.6904968444520116
1109,1269,AME,Alto Metals Ltd,Materials,$41.19 M,AME.AX,-16.13,0.4820987808912349
1110,1270,PAB,PATRYS Ltd,Health Care,$41.14 M,PAB.AX,-65.37,0.7952892082855556
1111,1271,AKM,Aspire Mining Ltd,Materials,$41.12 M,AKM.AX,9.46,0.654570122338968
1112,1272,RPM,RPM Automotive Group Ltd,Consumer Discretionary,$40.97 M,RPM.AX,-27.78,0.6420494523523591
1113,1273,AGS,Alliance Resources Ltd,Materials,$40.95 M,AGS.AX,32.76,0.6937468348327688
1114,1274,DGH,Desane Group Holdings Ltd,Real Estate,$40.91 M,DGH.AX,-15.25,0.20852018871436304
1115,1275,HRN,Horizon Gold Ltd,Materials,$40.82 M,HRN.AX,-20.26,0.7387741860725885
1116,1276,DNA,Donaco International Ltd,Consumer Discretionary,$40.77 M,DNA.AX,-15.39,0.647296789669787
1117,1277,MVS,Vaneck Small Companies Masters ETF,Financials,$40.66 M,MVS.AX,-15.03,0.15822229817867825
1118,1278,DTR,Dateline Resources Ltd,Materials,$40.65 M,DTR.AX,-9.89,1.0742133311965083
1119,1279,CD1,CD Private Equity Fund I,Financials,$40.57 M,CD1.AX,-3.7,0.38224058783219145
1120,1280,ICG,Inca Minerals Ltd,Materials,$40.45 M,ICG.AX,-23.64,1.1065235335254409
1121,1281,SDV,Scidev Ltd,Materials,$40.39 M,SDV.AX,-74.1,0.6826094386881092
1122,1282,ARV,Artemis Resources Ltd,Materials,$40.26 M,ARV.AX,-44.23,0.7042462500957235
1123,1283,VR8,Vanadium Resources Ltd,Materials,$40.25 M,VR8.AX,32.81,0.8255694960303979
1124,1284,DEM,De.Mem Ltd,Utilities,$40.14 M,DEM.AX,-35.71,0.5980002626932226
1125,1285,FML,Focus Minerals Ltd,Materials,$40.12 M,FML.AX,-46.15,0.6064507370238705
1126,1286,DXB,Dimerix Ltd,Health Care,$40.11 M,DXB.AX,-39.02,0.7888334275350559
1127,1287,WAK,Wa Kaolin Ltd,Materials,$40.01 M,WAK.AX,-7.32,0.47905895523507647
1128,1288,GAS,State GAS Ltd,Energy,$39.97 M,GAS.AX,-60.78,0.6393827788709043
1129,1289,OBM,Ora Banda Mining Ltd,Materials,$39.85 M,OBM.AX,-80.25,0.8504607083193199
1130,1290,DW8,DW8 Ltd,Consumer Discretionary,$39.68 M,DW8.AX,-81.01,0.7943009001985759
1131,1291,ENR,Encounter Resources Ltd,Materials,$39.65 M,ENR.AX,-7.89,0.8615526173708898
1132,1292,OSL,Oncosil Medical Ltd,Health Care,$39.65 M,OSL.AX,-26.38,0.9805733003697512
1133,1293,AFA,Asf Group Ltd,Financials,$39.63 M,AFA.AX,-16.67,0.4495642801336829
1134,1294,APC,Australian Potash Ltd,Materials,$39.61 M,APC.AX,-65.0,0.7005357616307945
1135,1295,AR9,Archtis Ltd,Information Technology,$39.57 M,AR9.AX,-37.5,0.9781728543077413
1136,1296,IIQ,Inoviq Ltd,Health Care,$39.57 M,IIQ.AX,-77.95,0.7477702203795145
1137,1297,GPR,Geopacific Resources Ltd,Materials,$39.46 M,GPR.AX,-75.08,0.6574059247222127
1138,1298,WIA,WIA Gold Ltd,Materials,$39.3 M,WIA.AX,107.32,0.7465330650058656
1139,1299,ASR,Asra Minerals Ltd,Materials,$38.86 M,ASR.AX,3.57,0.8899313473104626
1140,1300,KAT,Katana Capital Ltd,Financials,$38.49 M,KAT.AX,11.88,0.18825991660050198
1141,1301,PXS,Pharmaxis Ltd,Health Care,$38.44 M,PXS.AX,-6.67,0.6351569548664657
1142,1302,TMK,TMK Energy Ltd,Energy,$38.28 M,TMK.AX,37.5,1.2388899049086746
1143,1303,XTE,Xtek Ltd,Industrials,$38.24 M,XTE.AX,-7.71,0.8597323935806923
1144,1304,MPA,Mad Paws Holdings Ltd,Consumer Discretionary,$38.17 M,MPA.AX,-23.53,0.7103504963511043
1145,1305,MRR,Minrex Resources Ltd,Materials,$38.17 M,MRR.AX,80.0,1.3051610014492248
1146,1306,FHS,Freehill Mining Ltd,Materials,$37.99 M,FHS.AX,-38.24,0.8823519126955847
1147,1307,8IH,8I Holdings Ltd,Financials,$37.63 M,8IH.AX,-64.41,0.6921846142217569
1148,1308,AZI,Altamin Ltd,Materials,$37.6 M,AZI.AX,33.32,0.6181519673959815
1149,1309,AR3,Australian Rare EARTHS Ltd,Materials,$37.6 M,AR3.AX,31.67,0.7663365639790546
1150,1310,NAC,Naos Ex-50 Opportunities Company Ltd,Financials,$37.58 M,NAC.AX,-27.39,0.2258168308216989
1151,1311,HMX,Hammer Metals Ltd,Materials,$37.51 M,HMX.AX,-50.0,0.8980376617275614
1152,1312,TEM,Tempest Minerals Ltd,Materials,$37.35 M,TEM.AX,365.06,3.0138321625188085
1153,1313,KAI,Kairos Minerals Ltd,Materials,$37.28 M,KAI.AX,-38.71,0.7097072513617052
1154,1314,ISU,Iselect Ltd,Consumer Discretionary,$37.21 M,ISU.AX,-61.25,0.6569476454790917
1155,1315,BWF,Blackwall Ltd,Financials,$37.11 M,BWF.AX,-6.78,0.5559068069962627
1156,1316,STN,Saturn Metals Ltd,Materials,$37.02 M,STN.AX,-33.72,0.626088352764136
1157,1317,CDO,Cadence Opportunities Fund Ltd,Financials,$36.87 M,CDO.AX,-12.69,0.22677861300250834
1158,1318,WWI,West Wits Mining Ltd,Materials,$36.84 M,WWI.AX,-76.53,0.8330504147690755
1159,1319,FEG,Far East Gold Ltd,Materials,$36.61 M,FEG.AX,50.0,0.9952321053224483
1160,1320,IBG,Ironbark ZINC Ltd,Materials,$36.6 M,IBG.AX,33.33,1.0564218179411125
1161,1321,EPM,Eclipse Metals Ltd,Energy,$36.5 M,EPM.AX,-9.52,0.9576721896044632
1162,1322,C6C,Copper Mountain Mining Corporation,Materials,$36.38 M,C6C.AX,-46.42,0.5998656049839434
1163,1323,KSN,Kingston Resources Ltd,Materials,$36.32 M,KSN.AX,-57.07,0.7083085550408696
1164,1324,TBA,Tombola Gold Ltd,Materials,$36.3 M,TBA.AX,-5.0,0.8251854420978024
1165,1325,HAL,Halo Technologies Holdings Ltd,Financials,$36.26 M,HAL.AX,-76.67,1.767033119122832
1166,1326,CIW,Clime Investment Management Ltd,Financials,$36.14 M,CIW.AX,-18.03,0.29938818916617943
1167,1327,KNI,Kuniko Ltd,Materials,$36 M,KNI.AX,260.0,2.2748699995189225
1168,1328,AKG,Academies Australasia Group Ltd,Consumer Discretionary,$35.73 M,AKG.AX,0.0,0.6364063996351742
1169,1329,92E,92 Energy Ltd,Energy,$35.62 M,92E.AX,35.94,1.1654832166773679
1170,1330,JGH,Jade Gas Holdings Ltd,Energy,$35.6 M,JGH.AX,575.0,1.240176047346426
1171,1331,GGE,Grand Gulf Energy Ltd,Energy,$35.57 M,GGE.AX,130.0,1.3123803506574123
1172,1332,FTZ,Fertoz Ltd,Materials,$35.5 M,FTZ.AX,3.33,1.0362409422190013
1173,1333,VBS,Vectus Biosystems Ltd,Health Care,$35.18 M,VBS.AX,-30.22,0.651465379215968
1174,1334,LEX,Lefroy Exploration Ltd,Materials,$35.01 M,LEX.AX,-75.76,0.7610123143700092
1175,1335,FPC,Fat Prophets Global Contrarian Fund Ltd,Financials,$34.92 M,FPC.AX,-34.08,0.2774006113756723
1176,1336,PAM,Pan Asia Metals Ltd,Materials,$34.62 M,PAM.AX,276.0,1.5515326560460112
1177,1337,SPD,Southern Palladium Ltd,Materials,$34.46 M,SPD.AX,60.0,1.637038682445153
1178,1338,COD,Coda Minerals Ltd,Materials,$34.28 M,COD.AX,-77.69,0.8344456126077705
1179,1339,IXU,Ixup Ltd,Information Technology,$34.28 M,IXU.AX,-78.89,0.792869128553617
1180,1340,PHO,Phosco Ltd,Materials,$34.11 M,PHO.AX,112.12,0.8152781205460715
1181,1341,EV1,Evolution Energy Minerals Ltd,Materials,$34.1 M,EV1.AX,55.0,0.6992252340423321
1182,1342,CDX,Cardiex Ltd,Health Care,$34.09 M,CDX.AX,-60.26,1.0260803476946914
1183,1343,DOC,Doctor Care Anywhere Group Plc,Health Care,$34.08 M,DOC.AX,-81.93,0.6594084497902037
1184,1344,UBN,Urbanise.com Ltd,Information Technology,$33.94 M,UBN.AX,-62.03,0.542086588202022
1185,1345,ST1,Spirit Technology Solutions Ltd,Communication Services,$33.9 M,ST1.AX,-81.11,0.6769413944086623
1186,1346,XAM,Xanadu Mines Ltd,Materials,$33.89 M,XAM.AX,-33.33,0.9379405763248237
1187,1347,ATH,Alterity Therapeutics Ltd,Health Care,$33.7 M,ATH.AX,-50.0,0.6813132067777198
1188,1348,AE1,Aerison Group Ltd,Industrials,$33.65 M,AE1.AX,-45.0,0.6112111364892198
1189,1349,BNR,Bulletin Resources Ltd,Materials,$33.65 M,BNR.AX,80.51,1.368074672205209
1190,1350,KNM,Kneomedia Ltd,Communication Services,$33.65 M,KNM.AX,400.0,1.2581657156943438
1191,1351,IBX,Imagion Biosystems Ltd,Health Care,$33.64 M,IBX.AX,-70.0,0.9354971368553817
1192,1352,FAL,Falcon Metals Ltd,Materials,$33.63 M,FAL.AX,-62.0,1.0189034132286277
1193,1353,VRS,Veris Ltd,Industrials,$33.52 M,VRS.AX,-9.86,0.5441608247015838
1194,1354,GBZ,GBM Resources Ltd,Materials,$33.47 M,GBZ.AX,-44.35,0.6920733142694263
1195,1355,IXC,INVEX Therapeutics Ltd,Health Care,$33.44 M,IXC.AX,-29.92,0.5509472392732778
1196,1356,VTG,Vita Group Ltd,Consumer Discretionary,$33.42 M,VTG.AX,-80.0,0.6771055539060106
1197,1357,BLG,Bluglass Ltd,Information Technology,$33.17 M,BLG.AX,-12.77,0.8364413183201866
1198,1358,CG1,Carbonxt Group Ltd,Materials,$33.14 M,CG1.AX,25.0,0.9143580422579981
1199,1359,AT1,Atomo Diagnostics Ltd,Health Care,$33.11 M,AT1.AX,-69.47,0.9331559259571071
1200,1360,GBE,Globe Metals & Mining Ltd,Materials,$33.08 M,GBE.AX,-58.24,0.9978313350486241
1201,1361,MIO,Macarthur Minerals Ltd,Materials,$33.06 M,MIO.AX,-50.0,0.849533626023229
1202,1362,TSO,Tesoro Gold Ltd,Materials,$33 M,TSO.AX,-69.66,0.7123885351362554
1203,1363,RNO,Rhinomed Ltd,Health Care,$32.86 M,RNO.AX,-25.31,1.403224569116046
1204,1364,SRJ,SRJ Technologies Group Plc,Energy,$32.84 M,SRJ.AX,91.11,0.719776038652942
1205,1365,SMG,Soon Mining Ltd,Materials,$32.77 M,SMG.AX,0.0,0.0
1206,1366,DVR,Diverger Ltd,Financials,$32.72 M,DVR.AX,-14.71,0.3215363215487618
1207,1367,REE,RAREX Ltd,Materials,$32.64 M,REE.AX,-23.68,0.8072030428561865
1208,1368,MYG,Mayfield Group Holdings Ltd,Industrials,$32.61 M,MYG.AX,-17.24,0.49806262374916055
1209,1369,PFG,Prime Financial Group Ltd,Financials,$32.55 M,PFG.AX,75.82,0.5094177800713473
1210,1370,LEL,Lithium Energy Ltd,Materials,$32.51 M,LEL.AX,89.47,0.995749547870243
1211,1371,GC1,Glennon Small Companies Ltd,Financials,$32.32 M,GC1.AX,-18.71,0.4001282136746739
1212,1372,GTG,Genetic Technologies Ltd,Health Care,$32.32 M,GTG.AX,-61.11,1.774038464922286
1213,1373,TRY,Troy Resources Ltd,Materials,$32.22 M,TRY.AX,-2.63,0.1658640315132635
1214,1374,CTE,Cryosite Ltd,Health Care,$32.21 M,CTE.AX,65.0,0.64184376037187
1215,1375,INV,Investsmart Group Ltd,Financials,$32 M,INV.AX,12.2,0.7813671100019375
1216,1376,AS1,Angel Seafood Holdings Ltd,Consumer Staples,$31.9 M,AS1.AX,50.0,0.6445380426291981
1217,1377,AUZ,Australian Mines Ltd,Materials,$31.87 M,AUZ.AX,-70.27,0.793568484888929
1218,1378,SPX,Spenda Ltd,Information Technology,$31.78 M,SPX.AX,-80.39,0.9510105410610225
1219,1379,AUQ,Alara Resources Ltd,Materials,$31.74 M,AUQ.AX,221.43,1.368194837640393
1220,1380,PCK,Painchek Ltd,Health Care,$31.71 M,PCK.AX,-54.1,0.7950945507049668
1221,1381,SEN,Senetas Corporation Ltd,Information Technology,$31.56 M,SEN.AX,-45.83,0.5254561651983689
1222,1382,PGO,Pacgold Ltd,Materials,$31.33 M,PGO.AX,132.44,1.0826802747424304
1223,1383,99L,99 Loyalty Ltd,Information Technology,$31.31 M,99L.AX,-57.81,1.1591127122956144
1224,1384,SRN,Surefire Resources NL,Materials,$31.29 M,SRN.AX,43.33,1.2225538264774698
1225,1385,ANX,ANAX Metals Ltd,Materials,$31.23 M,ANX.AX,-6.1,0.7839250847958426
1226,1386,PVS,Pivotal Systems Corporation,Information Technology,$31.09 M,PVS.AX,-87.2,0.6689656141006813
1227,1387,SRK,Strike Resources Ltd,Materials,$31.05 M,SRK.AX,-51.06,0.9187783725838821
1228,1388,CLZ,Classic Minerals Ltd,Materials,$31.02 M,CLZ.AX,0.0,2.9155298434000283
1229,1389,CST,Castile Resources Ltd,Materials,$30.96 M,CST.AX,-31.11,0.692648635245948
1230,1390,TGH,Terragen Holdings Ltd,Materials,$30.89 M,TGH.AX,-44.83,1.0123174753685718
1231,1391,CAY,Canyon Resources Ltd,Materials,$30.88 M,CAY.AX,-63.33,0.6281929550811746
1232,1392,CCG,Comms Group Ltd,Communication Services,$30.71 M,CCG.AX,21.43,0.644031608363833
1233,1393,SOV,Sovereign Cloud Holdings Ltd,Information Technology,$30.66 M,SOV.AX,-57.64,0.8686711784434088
1234,1394,AIQ,Alternative Investment Trust,Financials,$30.64 M,AIQ.AX,-16.67,0.5878973373002925
1235,1395,CPN,Caspin Resources Ltd,Materials,$30.37 M,CPN.AX,-74.41,0.9803043033198929
1236,1396,CAD,Caeneus Minerals Ltd,Materials,$30.29 M,CAD.AX,-35.0,1.2228368286823081
1237,1397,TGM,Theta Gold Mines Ltd,Materials,$30.26 M,TGM.AX,-73.81,0.6640148363811079
1238,1398,LDX,Lumos Diagnostics Holdings Ltd,Health Care,$29.86 M,LDX.AX,-86.76,0.8560613646864553
1239,1399,YBR,Yellow Brick Road Holdings Ltd,Financials,$29.86 M,YBR.AX,2.22,0.6079774814224936
1240,1400,WR1,Winsome Resources Ltd,Materials,$29.73 M,WR1.AX,10.0,1.0369699890399116
1241,1401,FRE,Firebrick Pharma Ltd,Health Care,$29.71 M,FRE.AX,40.0,0.8194820505263976
1242,1402,BDT,Birddog Technology Ltd,Information Technology,$29.67 M,BDT.AX,-77.69,0.782920727637561
1243,1403,SOP,Synertec Corporation Ltd,Industrials,$29.66 M,SOP.AX,-17.0,0.577622328657866
1244,1404,RVS,Revasum Inc,Information Technology,$29.66 M,RVS.AX,0.0,0.9960430278136757
1245,1405,GWR,GWR Group Ltd,Materials,$29.55 M,GWR.AX,-70.14,0.9008049826405435
1246,1406,KRR,King River Resources Ltd,Materials,$29.52 M,KRR.AX,-29.63,0.7086096566967424
1247,1407,SIO,Simonds Group Ltd,Consumer Discretionary,$29.45 M,SIO.AX,-66.1,0.6089049169192788
1248,1408,K2F,K2FLY Ltd,Information Technology,$29.44 M,K2F.AX,-45.16,0.7712281241959082
1249,1409,MZZ,Matador Mining Ltd,Materials,$29.37 M,MZZ.AX,-69.32,0.6345699025818444
1250,1410,MRD,Mount Ridley Mines Ltd,Materials,$29.29 M,MRD.AX,150.0,1.6771663483053898
1251,1411,BSA,BSA Ltd,Industrials,$29.12 M,BSA.AX,-82.51,0.7332195671098705
1252,1412,ABX,ABX Group Ltd,Materials,$29.07 M,ABX.AX,23.81,0.8027822153886739
1253,1413,AGN,Argenica Therapeutics Ltd,Health Care,$28.93 M,AGN.AX,130.77,0.7845792997900083
1254,1414,QSML,Vaneck MSCI Intl Small Companies Quality ETF,Financials,$28.89 M,QSML.AX,-13.09,0.18269835736136517
1255,1415,OEX,OILEX Ltd,Energy,$28.85 M,OEX.AX,-12.5,2.2472148097218856
1256,1416,AHC,Austco Healthcare Ltd,Health Care,$28.71 M,AHC.AX,-20.0,0.5359353631953436
1257,1417,DKM,Duketon Mining Ltd,Materials,$28.68 M,DKM.AX,-26.56,0.6896513522612597
1258,1418,VYS,Vysarn Ltd,Materials,$28.61 M,VYS.AX,-19.78,0.3548560430068979
1259,1419,CHM,Chimeric Therapeutics Ltd,Health Care,$28.52 M,CHM.AX,-67.09,0.6013484169180813
1260,1420,MEM,Memphasys Ltd,Health Care,$28.52 M,MEM.AX,-44.62,0.914365119613336
1261,1421,SXG,Southern Cross Gold Ltd,Materials,$28.49 M,SXG.AX,128.75,6.217042706206029
1262,1422,MLS,Metals Australia Ltd,Materials,$28.4 M,MLS.AX,66.67,2.442662629270156
1263,1423,BML,Boab Metals Ltd,Materials,$28.4 M,BML.AX,-56.98,0.6474187107310501
1264,1424,DTC,Damstra Holdings Ltd,Information Technology,$28.35 M,DTC.AX,-86.96,0.9092601705477062
1265,1425,CMP,Compumedics Ltd,Health Care,$28.35 M,CMP.AX,-55.56,0.6317949331250318
1266,1426,GBR,Great Boulder Resources Ltd,Materials,$28.33 M,GBR.AX,-18.29,1.3832238201883518
1267,1427,AFL,Af Legal Group Ltd,Industrials,$28.24 M,AFL.AX,-34.51,0.4594431349089439
1268,1428,PTG,Proptech Group Ltd,Information Technology,$28.15 M,PTG.AX,-74.85,0.681683996995247
1269,1429,TI1,Tombador Iron Ltd,Materials,$28 M,TI1.AX,-70.24,0.9185446819130574
1270,1430,QHL,Quickstep Holdings Ltd,Industrials,$27.97 M,QHL.AX,-23.53,0.5985858199478983
1271,1431,ACS,Accent Resources NL,Materials,$27.96 M,ACS.AX,20.0,0.29637572651938165
1272,1432,CF1,Complii Fintech Solutions Ltd,Information Technology,$27.86 M,CF1.AX,35.59,0.679785854379797
1273,1433,JAT,Jatcorp Ltd,Consumer Discretionary,$27.83 M,JAT.AX,-33.65,0.779426522778545
1274,1434,KMT,Kopore Metals Ltd,Materials,$27.79 M,KMT.AX,20.0,1.0011527412717494
1275,1435,ITM,Itech Minerals Ltd,Materials,$27.7 M,ITM.AX,52.5,1.1845891647328242
1276,1436,CNR,Cannon Resources Ltd,Materials,$27.69 M,CNR.AX,80.0,1.075543944428939
1277,1437,HAW,Hawthorn Resources Ltd,Materials,$27.68 M,HAW.AX,84.44,1.0769292489485853
1278,1438,BYI,Beyond International Ltd,Communication Services,$27.6 M,BYI.AX,-35.71,0.28718164747431646
1279,1439,AV1,Adveritas Ltd,Information Technology,$27.6 M,AV1.AX,-40.95,0.7844015383255614
1280,1440,AGR,Aguia Resources Ltd,Materials,$27.59 M,AGR.AX,-5.48,1.032288400100486
1281,1441,AGD,Austral Gold Ltd,Materials,$27.55 M,AGD.AX,-68.97,0.6338561071625664
1282,1442,BKG,Booktopia Group Ltd,Consumer Discretionary,$27.47 M,BKG.AX,-92.31,0.7148328764640698
1283,1443,EDE,Eden Innovations Ltd,Energy,$27.34 M,EDE.AX,-47.62,0.980237453821707
1284,1444,KPO,Kalina Power Ltd,Utilities,$27.27 M,KPO.AX,-43.75,0.9111383446615382
1285,1445,CNJ,Conico Ltd,Materials,$27.17 M,CNJ.AX,-25.16,1.7076402609503993
1286,1446,TFL,Tasfoods Ltd,Consumer Staples,$27.1 M,TFL.AX,-43.64,0.4681744417456166
1287,1447,ELE,Elmore Ltd,Materials,$27 M,ELE.AX,57.14,0.9679887371556165
1288,1448,EYE,Nova EYE Medical Ltd,Health Care,$26.93 M,EYE.AX,-41.27,0.6651070196146364
1289,1449,AMX,Aerometrex Ltd,Industrials,$26.9 M,AMX.AX,-61.22,0.6799536554091191
1290,1450,AQI,Alicanto Minerals Ltd,Materials,$26.86 M,AQI.AX,-48.15,0.7962613210107312
1291,1451,MGL,Magontec Ltd,Materials,$26.86 M,MGL.AX,37.26,0.9312369434606991
1292,1452,PNN,Power Minerals Ltd,Materials,$26.76 M,PNN.AX,74.0,1.1877761607113395
1293,1453,RHT,Resonance Health Ltd,Health Care,$26.73 M,RHT.AX,-63.75,0.8837027671668669
1294,1454,NGE,NGE Capital Ltd,Financials,$26.64 M,NGE.AX,12.12,0.3066885550240728
1295,1455,PF1,Pathfinder Resources Ltd,Materials,$26.56 M,PF1.AX,47.06,0.5969148449398742
1296,1456,IDT,IDT Australia Ltd,Health Care,$26.51 M,IDT.AX,-66.67,1.0289619900639142
1297,1457,ROG,Red Sky Energy Ltd,Energy,$26.51 M,ROG.AX,-28.57,1.5549808551449276
1298,1458,ADS,Adslot Ltd,Information Technology,$26.45 M,ADS.AX,-55.56,0.8169966850224546
1299,1459,KYK,KYCKR Ltd,Information Technology,$26.34 M,KYK.AX,16.67,0.6274368387332817
1300,1460,PV1,Provaris Energy Ltd,Energy,$26.29 M,PV1.AX,-31.43,0.8987774377506812
1301,1461,TLM,Talisman Mining Ltd,Materials,$26.28 M,TLM.AX,-31.71,0.6551713947718247
1302,1462,CCA,Change Financial Ltd,Information Technology,$26.26 M,CCA.AX,-34.0,0.6975003270482716
1303,1463,KZR,Kalamazoo Resources Ltd,Materials,$26.13 M,KZR.AX,-51.02,0.7359380994881906
1304,1464,IG6,International Graphite Ltd,Industrials,$26.08 M,IG6.AX,60.0,0.8979812979701656
1305,1465,AMO,Ambertech Ltd,Information Technology,$26.04 M,AMO.AX,24.44,0.6972657493498061
1306,1466,NCL,Netccentric Ltd,Communication Services,$26.04 M,NCL.AX,-42.5,0.8707381856874489
