,Rank,Code,Company,Sector,Mkt Cap,Code_asx,Annual % increase,Volatility
555,686,QVE,QV Equities Ltd,Financials,$216.64 M,QVE.AX,-5.03,0.1158292309189408
556,687,GNP,Genusplus Group Ltd,Industrials,$215.64 M,GNP.AX,35.56,0.3752197465942015
557,688,WQG,WCM Global Growth Ltd,Financials,$212.95 M,WQG.AX,-27.99,0.29272756826936464
558,690,PAR,Paradigm Biopharmaceuticals Ltd,Health Care,$210.53 M,PAR.AX,-52.32,0.6750399939091287
559,691,MRM,Mma Offshore Ltd,Energy,$208.41 M,MRM.AX,36.47,0.4792333149486422
560,693,BTI,Bailador Technology Investments Ltd,Financials,$207.95 M,BTI.AX,10.9,0.39871204829155327
561,694,ENN,Elanor Investors Group,Consumer Discretionary,$207.87 M,ENN.AX,-12.11,0.2900205686492281
562,695,TBR,Tribune Resources Ltd,Materials,$207.77 M,TBR.AX,-15.75,0.3665265782113908
563,696,OGC,Oceanagold Corporation,Materials,$207.41 M,OGC.AX,15.69,0.4459999222771512
564,697,EVS,Envirosuite Ltd,Information Technology,$207.07 M,EVS.AX,83.33,0.7369119209089855
565,698,HZN,Horizon Oil Ltd,Energy,$205.26 M,HZN.AX,18.18,0.5705332682689838
566,699,SRL,Sunrise Energy Metals Ltd,Materials,$204.43 M,SRL.AX,23.04,0.5891195738412099
567,700,VMY,Vimy Resources Ltd,Energy,$203.63 M,VMY.AX,52.17,1.0715480596062992
568,701,RHI,Red Hill Iron Ltd,Materials,$203.61 M,RHI.AX,338.91,2.70655053320416
569,702,GL1,Global Lithium Resources Ltd,Materials,$203.13 M,GL1.AX,412.0,0.9797047651472806
570,703,PLUS,Vaneck Australian Corporate Bond Plus ETF,Financials,$202.66 M,PLUS.AX,-14.83,0.06698725562017968
571,704,ELO,Elmo Software Ltd,Information Technology,$201.9 M,ELO.AX,-49.78,0.512546824641439
572,706,D2O,Duxton Water Ltd,Utilities,$201.42 M,D2O.AX,19.15,0.211683676692776
573,707,AZL,Arizona Lithium Ltd,Materials,$200.94 M,AZL.AX,309.09,1.1770684085053673
574,708,COB,Cobalt Blue Holdings Ltd,Materials,$200.75 M,COB.AX,127.27,0.9112868454752685
575,709,CEL,Challenger Exploration Ltd,Materials,$199.52 M,CEL.AX,-17.02,0.5433555442844406
576,710,WMA,Wam Alternative Assets Ltd,Financials,$199.37 M,WMA.AX,3.54,0.174039628464022
577,711,IMA,Image Resources NL,Materials,$198.32 M,IMA.AX,12.12,0.4650777213538928
578,713,GVF,Global Value Fund Ltd,Financials,$196.89 M,GVF.AX,0.0,0.22013497124951456
579,714,PPK,PPK Group Ltd,Industrials,$196.44 M,PPK.AX,-85.31,0.646732295293402
580,715,PCG,Pengana Capital Group Ltd,Financials,$190.55 M,PCG.AX,2.94,0.4891736963556732
581,716,NTU,Northern Minerals Ltd,Materials,$189.53 M,NTU.AX,21.88,0.5472927141199744
582,718,RWL,Rubicon Water Ltd,Information Technology,$189.07 M,RWL.AX,10.0,0.5287393411348152
