Rank,Code,Company,Price,1 Day,1 Week,1 Month,1 Year,Sector,Mkt Cap
2215,JPR,Jupiter Energy Ltd,$0.02,0.00%,-13.21%,-23.33%,-25.81%,Energy,$3.53 M
2216,OZZ,OZZ Resources Ltd,$0.11,0.00%,15.39%,5.00%,-47.50%,Materials,$3.51 M
2217,CYQ,CYCLIQ Group Ltd,$0.01,-9.09%,-9.09%,-47.37%,-66.67%,Consumer Discretionary,$3.48 M
2218,SIS,Simble Solutions Ltd,$0.01,0.00%,-11.11%,-27.27%,-72.41%,Information Technology,$3.42 M
2219,NES,Nelson Resources Ltd,$0.01,-4.17%,4.55%,-32.35%,-79.02%,Materials,$3.38 M
2220,WC1,West Cobar Metals Ltd,$0.11,0.00%,-8.33%,-15.39%,-45.00%,Materials,$3.38 M
2221,M24,Mamba Exploration Ltd,$0.08,0.00%,6.67%,-19.19%,-61.91%,Materials,$3.37 M
2222,IPB,IPB Petroleum Ltd,$0.01,0.00%,0.00%,-33.33%,-58.33%,Energy,$3.37 M
2223,M8S,M8 Sustainable Ltd,$0.01,0.00%,0.00%,-15.79%,-61.25%,Industrials,$3.36 M
2224,MBX,My Foodie BOX Ltd,$0.10,-16.67%,-23.08%,-33.33%,-50.00%,Consumer Staples,$3.35 M
2225,NVU,Nanoveu Ltd,$0.02,7.14%,-6.25%,7.14%,-68.09%,Information Technology,$3.34 M
2226,DLT,Delta Drone International Ltd,$0.01,-8.33%,-21.43%,-21.43%,-50.00%,Information Technology,$3.3 M
2227,OEQ,Orion Equities Ltd,$0.21,0.00%,-22.22%,-40.00%,-30.00%,Financials,$3.29 M
2228,SAN,Sagalio Energy Ltd,$0.02,0.00%,0.00%,0.00%,-27.27%,Energy,$3.27 M
2229,MMC,Mitre Mining Corporation Ltd,$0.12,0.00%,0.00%,-17.24%,-40.00%,Materials,$3.25 M
2230,RB6,RUBIX Resources Ltd,$0.12,0.00%,-17.24%,-33.33%,-40.00%,Materials,$3.25 M
2231,ICE,Icetana Ltd,$0.02,5.56%,-20.83%,-44.12%,-77.38%,Information Technology,$3.25 M
2232,MMR,Mec Resources Ltd,$0.00,0.00%,0.00%,0.00%,0.00%,Energy,$3.24 M
2233,OKJ,Oakajee Corporation Ltd,$0.04,0.00%,-18.61%,-18.61%,-53.33%,Materials,$3.2 M
2234,C1X,Cosmos Exploration Ltd,$0.13,0.00%,0.00%,-19.36%,-37.50%,Materials,$3.13 M
2235,AUE,Aurum Resources Ltd,$0.13,0.00%,0.00%,-7.41%,-37.50%,Materials,$3.13 M
2236,AMM,Armada Metals Ltd,$0.06,3.33%,-17.33%,-50.40%,-69.00%,Materials,$3.1 M
2237,NYM,Narryer Metals Ltd,$0.11,4.76%,-21.43%,-42.11%,-45.00%,Materials,$3.07 M
2238,BUR,Burley Minerals Ltd,$0.09,0.00%,-8.25%,-25.83%,-55.50%,Materials,$3.05 M
2239,PLG,Pearl Gull Iron Ltd,$0.05,35.00%,12.50%,54.29%,-73.00%,Materials,$2.96 M
2240,LKY,Locksley Resources Ltd,$0.10,0.00%,-20.80%,-29.29%,-50.50%,Materials,$2.87 M
2241,C29,C29 Metals Ltd,$0.11,-4.55%,-4.55%,-34.38%,-47.50%,Materials,$2.86 M
2242,VOL,Victory Offices Ltd,$0.02,-5.26%,-28.00%,-66.04%,-89.09%,Real Estate,$2.84 M
2243,LVE,Love Group Global Ltd,$0.07,-12.50%,-12.50%,-12.50%,-27.84%,Communication Services,$2.84 M
2244,WSR,Westar Resources Ltd,$0.05,2.27%,2.27%,-40.00%,-70.00%,Materials,$2.79 M
2245,IVO,Invigor Group Ltd,$0.02,-14.29%,-25.00%,-67.27%,-74.65%,Communication Services,$2.76 M
2246,AGJ,Agricultural Land Trust,$0.03,0.00%,0.00%,0.00%,0.00%,Real Estate,$2.74 M
2247,MSI,Multistack International Ltd,$0.02,-13.04%,-33.33%,-33.33%,-71.43%,Industrials,$2.73 M
2248,AJY,Asaplus Resources Ltd,$0.02,0.00%,0.00%,0.00%,-66.67%,Materials,$2.72 M
2249,FOS,FOS Capital Ltd,$0.20,-2.44%,-2.44%,-18.37%,5.26%,Industrials,$2.66 M
2250,DC2,DC Two Ltd,$0.05,0.00%,13.64%,-23.08%,-81.82%,Information Technology,$2.64 M
2251,CDR,Codrus Minerals Ltd,$0.07,-4.35%,-13.16%,-26.67%,-67.81%,Materials,$2.64 M
2252,ALB,Albion Resources Ltd,$0.08,0.00%,-11.58%,-42.07%,-56.92%,Materials,$2.64 M
2253,SMS,Star Minerals Ltd,$0.10,0.00%,-23.08%,-52.38%,-50.00%,Materials,$2.63 M
2254,DMM,DMC Mining Ltd,$0.09,-5.26%,-1.10%,-30.77%,-55.00%,Materials,$2.58 M
2255,DAL,Dalaroo Metals Ltd,$0.09,-10.53%,-10.53%,-29.17%,-57.50%,Materials,$2.54 M
2256,SIT,Site Group International Ltd,$0.00,0.00%,0.00%,0.00%,-76.00%,Consumer Discretionary,$2.52 M
2257,ROC,Rocketboots Ltd,$0.08,4.05%,-4.94%,-9.41%,-61.50%,Information Technology,$2.44 M
2258,AO1,Assetowl Ltd,$0.00,-25.00%,-25.00%,-40.00%,-72.13%,Information Technology,$2.36 M
2259,OPL,Opyl Ltd,$0.04,13.16%,-10.42%,-36.77%,-78.50%,Information Technology,$2.34 M
2260,ROO,Roots Sustainable Agricultural Technologies Ltd,$0.00,0.00%,-14.29%,-33.33%,-70.00%,Industrials,$2.25 M
2261,EQS,Equity Story Group Ltd,$0.08,0.00%,-3.85%,-18.48%,-62.50%,Financials,$2.21 M
2262,CFO,Cfoam Ltd,$0.00,-25.00%,-25.00%,-25.00%,-80.00%,Industrials,$2.2 M
2263,PRS,Prospech Ltd,$0.03,0.00%,-8.33%,-21.43%,-77.24%,Materials,$2.15 M
2264,PKD,Parkd Ltd,$0.02,0.00%,-32.26%,-41.67%,-48.78%,Industrials,$2.1 M
2265,RPG,Raptis Group Ltd,$0.03,0.00%,0.00%,0.00%,10.00%,Real Estate,$2.1 M
2266,KLR,Kaili Resources Ltd,$0.01,0.00%,0.00%,-12.50%,-44.00%,Energy,$2.06 M
2267,FGL,Frugl Group Ltd,$0.01,-10.00%,0.00%,-35.71%,-82.00%,Information Technology,$1.81 M
2268,TNP,Triple Energy Ltd,$0.03,0.00%,0.00%,0.00%,0.00%,Energy,$1.8 M
2269,3MF,3D Metalforge Ltd,$0.01,9.09%,-14.29%,-45.46%,-92.00%,Industrials,$1.73 M
2270,HHI,Health House International Ltd,$0.01,0.00%,0.00%,-20.00%,-92.00%,Health Care,$1.63 M
2271,ATM,Aneka Tambang (Persero) TBK (PT),$1.25,0.00%,-0.40%,-0.40%,24.50%,Materials,$1.62 M
2272,JTL,JAYEX Technology Ltd,$0.01,0.00%,-14.29%,-14.29%,-78.57%,Health Care,$1.5 M
2273,MCX,Mariner Corporation Ltd,$0.03,0.00%,0.00%,0.00%,-53.73%,Financials,$1.49 M
2274,OAK,Oakridge International Ltd,$0.08,-5.00%,-24.00%,-36.67%,-62.00%,Information Technology,$1.31 M
2275,QUE,Queste Communications Ltd,$0.04,-38.57%,-38.57%,-38.57%,-21.82%,Financials,$1.16 M
2276,CTV,Colortv Ltd,$0.01,0.00%,0.00%,-25.00%,-94.00%,Communication Services,$927.74 TH
2277,E2E,Eon NRG Ltd,$0.00,0.00%,0.00%,0.00%,0.00%,Energy,$769.89 TH
2278,LAM,Laramide Resources Ltd,$0.54,0.00%,-6.90%,-9.24%,2.86%,Energy,$658.94 TH
2279,AIB,Aurora Global Income Trust,$0.09,-12.38%,-12.38%,-12.38%,-8.00%,Financials,$632.53 TH
