Rank,Code,Company,Price,1 Day,1 Week,1 Month,1 Year,Sector,Mkt Cap
652,FFX,Firefinch Ltd,$0.20,0.00%,-11.11%,-81.22%,-50.00%,Materials,$236.25 M
654,MLD,Maca Ltd,$0.69,-2.13%,-2.13%,-9.80%,-10.39%,Materials,$235.78 M
655,GDG,Generation Development Group Ltd,$1.27,-2.69%,0.00%,-15.67%,49.70%,Financials,$235.34 M
656,TIG,Tigers Realm Coal Ltd,$0.02,5.88%,5.88%,0.00%,125.00%,Materials,$235.2 M
658,KSC,K & S Corporation Ltd,$1.75,0.00%,-1.69%,-2.24%,9.03%,Industrials,$234.63 M
659,GAL,Galileo Mining Ltd,$1.31,3.56%,-14.94%,-22.94%,385.19%,Materials,$234.24 M
660,KSL,Kina Securities Ltd,$0.82,0.62%,0.00%,-8.43%,-23.11%,Financials,$233.85 M
661,SVM,Sovereign Metals Ltd,$0.50,3.13%,0.00%,-7.48%,-25.00%,Materials,$233.01 M
663,EOS,Electro Optic Systems Holdings Ltd,$1.54,0.00%,-3.45%,-20.21%,-65.08%,Industrials,$232.41 M
664,PYC,PYC Therapeutics Ltd,$0.07,8.96%,4.29%,0.00%,-51.33%,Health Care,$232.21 M
665,MAY,Melbana Energy Ltd,$0.08,-9.30%,9.86%,-16.13%,258.89%,Energy,$227.3 M
666,TWR,Tower Ltd,$0.60,8.18%,3.48%,-4.03%,-14.05%,Financials,$225.79 M
667,PIA,Pengana International Equities Ltd,$0.88,-2.22%,-2.22%,-16.98%,-32.82%,Financials,$225.31 M
668,LOT,Lotus Resources Ltd,$0.23,0.00%,9.52%,-11.54%,35.29%,Materials,$225.13 M
669,NZM,NZME Ltd,$1.16,0.87%,10.48%,0.00%,70.59%,Communication Services,$224.53 M
670,C79,Chrysos Corporation Ltd,$3.76,3.87%,-1.57%,-27.69%,-42.15%,Industrials,$224.25 M
671,FID,Fiducian Group Ltd,$7.10,-4.83%,5.97%,-4.18%,-1.66%,Financials,$223.49 M
672,HUM,Humm Group Ltd,$0.45,-1.10%,-10.00%,-38.36%,-53.61%,Financials,$222.87 M
673,ARX,Aroa Biosurgery Ltd,$0.65,0.78%,-4.41%,-20.73%,-38.68%,Health Care,$222.77 M
674,IHWL,Ishares Core MSCI World Ex Aus Esg Leaders Aud Hed,$37.60,-0.27%,5.83%,-2.36%,-18.97%,Financials,$222.76 M
676,HE8,Helios Energy Ltd,$0.09,1.19%,-5.56%,-15.00%,-48.49%,Energy,$221.34 M
677,AIS,Aeris Resources Ltd,$0.07,0.00%,4.55%,-25.00%,-61.79%,Materials,$221.29 M
678,ADN,Andromeda Metals Ltd,$0.07,-4.05%,5.97%,-35.46%,-60.56%,Materials,$220.65 M
679,WOT,Wotso Property,$1.35,3.85%,8.43%,3.45%,-6.90%,Real Estate,$220.54 M
680,BRL,Bathurst Resources Ltd,$1.15,1.77%,4.55%,-19.01%,161.36%,Materials,$220.06 M
681,WGN,Wagners Holding Company Ltd,$1.17,0.00%,-0.43%,-1.27%,-43.72%,Materials,$218.58 M
682,LYL,Lycopodium Ltd,$5.50,0.37%,7.84%,-4.01%,1.10%,Industrials,$218.57 M
683,LRK,Lark Distilling Co. Ltd,$2.90,0.35%,9.43%,14.17%,-10.49%,Consumer Staples,$218.39 M
684,NCZ,New Century Resources Ltd,$1.66,-2.65%,-5.43%,-24.77%,-49.85%,Materials,$216.79 M
686,QVE,QV Equities Ltd,$0.95,1.07%,1.61%,-8.70%,-5.03%,Financials,$216.64 M
687,GNP,Genusplus Group Ltd,$1.22,-1.61%,11.93%,-4.69%,35.56%,Industrials,$215.64 M
688,WQG,WCM Global Growth Ltd,$1.15,-4.58%,-2.14%,-2.14%,-27.99%,Financials,$212.95 M
690,PAR,Paradigm Biopharmaceuticals Ltd,$0.93,-6.09%,-5.61%,-23.24%,-52.32%,Health Care,$210.53 M
691,MRM,Mma Offshore Ltd,$0.58,0.00%,13.73%,-1.70%,36.47%,Energy,$208.41 M
693,BTI,Bailador Technology Investments Ltd,$1.48,1.72%,12.17%,8.46%,10.90%,Financials,$207.95 M
694,ENN,Elanor Investors Group,$1.71,-2.85%,-1.16%,-14.32%,-12.11%,Consumer Discretionary,$207.87 M
695,TBR,Tribune Resources Ltd,$3.96,0.25%,-0.50%,-1.98%,-15.75%,Materials,$207.77 M
696,OGC,Oceanagold Corporation,$2.95,5.36%,-4.22%,-11.15%,15.69%,Materials,$207.41 M
697,EVS,Envirosuite Ltd,$0.17,3.13%,10.00%,0.00%,83.33%,Information Technology,$207.07 M
698,HZN,Horizon Oil Ltd,$0.13,4.00%,8.33%,-16.13%,18.18%,Energy,$205.26 M
699,SRL,Sunrise Energy Metals Ltd,$2.27,-1.30%,-7.35%,-24.08%,23.04%,Materials,$204.43 M
700,VMY,Vimy Resources Ltd,$0.18,0.00%,12.90%,-5.41%,52.17%,Energy,$203.63 M
701,RHI,Red Hill Iron Ltd,$3.19,0.31%,4.25%,-9.12%,338.91%,Materials,$203.61 M
702,GL1,Global Lithium Resources Ltd,$1.28,1.19%,8.02%,-21.71%,412.00%,Materials,$203.13 M
703,PLUS,Vaneck Australian Corporate Bond Plus ETF,$15.97,0.19%,1.59%,-2.86%,-14.83%,Financials,$202.66 M
704,ELO,Elmo Software Ltd,$2.24,-8.20%,-6.67%,-28.89%,-49.78%,Information Technology,$201.9 M
706,D2O,Duxton Water Ltd,$1.68,1.21%,5.33%,9.09%,19.15%,Utilities,$201.42 M
707,AZL,Arizona Lithium Ltd,$0.09,0.00%,-3.23%,-40.00%,309.09%,Materials,$200.94 M
708,COB,Cobalt Blue Holdings Ltd,$0.63,-5.30%,5.04%,-24.24%,127.27%,Materials,$200.75 M
709,CEL,Challenger Exploration Ltd,$0.20,-2.50%,-7.14%,-30.36%,-17.02%,Materials,$199.52 M
710,WMA,Wam Alternative Assets Ltd,$1.03,-0.97%,2.50%,-6.39%,3.54%,Financials,$199.37 M
711,IMA,Image Resources NL,$0.19,0.00%,5.71%,-11.91%,12.12%,Materials,$198.32 M
713,GVF,Global Value Fund Ltd,$1.13,2.73%,6.10%,0.00%,0.00%,Financials,$196.89 M
714,PPK,PPK Group Ltd,$2.20,-1.79%,6.28%,-27.39%,-85.31%,Industrials,$196.44 M
715,PCG,Pengana Capital Group Ltd,$1.75,0.58%,6.06%,-12.50%,2.94%,Financials,$190.55 M
716,NTU,Northern Minerals Ltd,$0.04,0.00%,5.41%,-9.30%,21.88%,Materials,$189.53 M
718,RWL,Rubicon Water Ltd,$1.10,0.00%,-3.08%,-6.78%,10.00%,Information Technology,$189.07 M
719,REIT,Vaneck Ftse International Property (Hedged) ETF,$17.55,-0.06%,4.34%,-5.08%,-13.63%,Financials,$188.58 M
720,FRI,Finbar Group Ltd,$0.69,5.34%,1.47%,-4.17%,-19.30%,Real Estate,$187.76 M
721,DUB,Dubber Corporation Ltd,$0.62,-7.52%,12.84%,-36.92%,-80.10%,Information Technology,$187.53 M
722,SVL,Silver Mines Ltd,$0.15,-3.33%,-9.38%,-23.68%,-44.23%,Materials,$187.32 M
723,AHQ,Allegiance Coal Ltd,$0.48,-2.04%,1.05%,-12.73%,-28.89%,Materials,$187.11 M
724,ZER,ZETA Resources Ltd,$0.33,-1.49%,-5.71%,-13.16%,-10.81%,Materials,$186.62 M
725,QUS,Betashares S&P 500 EQUAL Weight ETF,$39.90,-0.33%,6.00%,-2.75%,-1.48%,Financials,$186.54 M
726,RTR,Rumble Resources Ltd,$0.30,3.45%,13.21%,-17.81%,-44.95%,Materials,$186.43 M
728,TGP,360 Capital Group,$0.85,1.20%,5.63%,-3.98%,-6.63%,Financials,$185.05 M
730,BYE,Byron Energy Ltd,$0.17,0.00%,9.68%,-2.86%,61.91%,Energy,$183.84 M
731,PGC,Paragon Care Ltd,$0.29,-3.39%,-5.00%,-9.52%,9.62%,Health Care,$183.62 M
732,HLA,Healthia Ltd,$1.43,-3.38%,3.62%,-8.92%,-28.12%,Health Care,$183.49 M
733,PBP,Probiotec Ltd,$2.25,0.00%,5.63%,-0.88%,0.45%,Health Care,$182.98 M
734,AVJ,Avjennings Ltd,$0.45,0.00%,-4.26%,-10.00%,-27.42%,Real Estate,$182.8 M
735,MVB,Vaneck Australian Banks ETF,$27.61,0.15%,5.58%,-12.49%,-8.15%,Financials,$182.79 M
738,GLB,Globe International Ltd,$4.35,-2.69%,2.35%,-14.37%,-23.68%,Consumer Discretionary,$180.37 M
739,WAR,Wam Strategic Value Ltd,$1.00,0.50%,-1.96%,-9.09%,-20.95%,Financials,$180.13 M
740,NOL,Nobleoak Life Ltd,$2.10,3.96%,10.53%,-1.87%,7.69%,Financials,$180.04 M
742,QPM,Queensland Pacific Metals Ltd,$0.12,-8.00%,15.00%,-34.29%,-17.86%,Materials,$179.82 M
743,MFB,My Food Bag Group Ltd,$0.74,0.00%,-9.20%,-6.33%,-42.64%,Consumer Staples,$179.4 M
744,KPG,Kelly Partners Group Holdings Ltd,$3.92,0.51%,6.52%,10.42%,11.36%,Industrials,$176.4 M
746,MVR,Vaneck Australian Resources ETF,$32.48,2.56%,4.10%,-8.58%,4.71%,Financials,$175.9 M
747,LPD,Lepidico Ltd,$0.03,0.00%,8.00%,-6.90%,145.46%,Materials,$175.69 M
748,VML,Vital Metals Ltd,$0.04,-2.33%,2.44%,-20.76%,-4.55%,Materials,$175.16 M
749,CAT,Catapult Group International Ltd,$0.76,-0.66%,0.00%,-22.96%,-62.62%,Information Technology,$175.1 M
752,SHJ,Shine Justice Ltd,$1.00,3.09%,9.89%,-6.54%,-11.50%,Consumer Discretionary,$173.26 M
753,NRZ,Neurizer Ltd,$0.18,-2.70%,12.50%,2.86%,24.14%,Energy,$171.79 M
755,PRT,PRT Company Ltd,$0.47,0.00%,0.00%,0.00%,106.67%,Communication Services,$170.34 M
756,BRI,Big River Industries Ltd,$2.07,1.47%,-0.48%,-14.82%,-5.91%,Materials,$170.21 M
757,AMA,AMA Group Ltd,$0.17,-2.94%,6.45%,-19.51%,-70.47%,Industrials,$168.7 M
758,AGE,Alligator Energy Ltd,$0.05,8.33%,6.12%,-20.00%,44.44%,Energy,$168.63 M
759,VLUE,Vaneck MSCI International Value ETF,$21.45,0.37%,4.08%,-4.28%,-0.79%,Financials,$167.31 M
760,A1M,Aic Mines Ltd,$0.54,-3.57%,1.89%,-10.00%,100.00%,Materials,$166.73 M
761,VIA,Viagold Rare Earth Resources Holdings Ltd,$2.00,0.00%,0.00%,0.00%,2339.02%,Materials,$166.62 M
762,CLV,Clover Corporation Ltd,$1.00,2.04%,-2.91%,-23.66%,-44.90%,Materials,$166.44 M
763,SFX,Sheffield Resources Ltd,$0.48,2.13%,3.23%,-6.80%,50.00%,Materials,$166.36 M
764,EXP,Experience Co Ltd,$0.22,0.00%,-3.30%,-8.33%,-23.96%,Consumer Discretionary,$165.5 M
765,GSS,Genetic Signatures Ltd,$1.15,0.00%,10.05%,-6.88%,0.88%,Health Care,$164.89 M
766,MVE,Vaneck S&P/ASX Midcap ETF,$33.33,-0.03%,5.11%,-6.19%,-7.15%,Financials,$164.69 M
767,SLH,Silk Logistics Holdings Ltd,$2.08,1.46%,4.00%,-11.49%,4.00%,Industrials,$163.74 M
768,JRL,Jindalee Resources Ltd,$2.85,-1.72%,0.00%,-10.94%,11.77%,Materials,$163.53 M
769,X64,Ten Sixty Four Ltd,$0.72,-1.38%,-2.06%,-6.54%,-12.27%,Materials,$162.99 M
770,AVG,Australian Vintage Ltd,$0.65,-0.77%,2.38%,-5.15%,-18.75%,Consumer Staples,$162.95 M
772,EWC,Energy World Corporation Ltd,$0.06,0.00%,-1.59%,-16.22%,-24.39%,Utilities,$161.7 M
773,NXS,Next Science Ltd,$0.75,-2.60%,1.35%,-7.98%,-47.55%,Health Care,$161.09 M
775,CTT,Cettire Ltd,$0.42,-11.58%,6.33%,-28.21%,-84.33%,Consumer Discretionary,$160.12 M
776,ORR,Orecorp Ltd,$0.40,-1.24%,-17.53%,-27.93%,-49.37%,Materials,$159.6 M
777,PEN,Peninsula Energy Ltd,$0.16,-5.88%,0.00%,-5.88%,3.23%,Energy,$159.57 M
779,EEG,Empire Energy Group Ltd,$0.21,-4.55%,10.53%,-12.50%,-35.39%,Energy,$159.4 M
780,3DP,Pointerra Ltd,$0.24,-6.00%,34.29%,-2.08%,-51.04%,Information Technology,$159.28 M
781,SHA,Shape Australia Corporation Ltd,$1.89,0.00%,-0.26%,-10.00%,-3.57%,Industrials,$157.33 M
782,BKY,Berkeley Energia Ltd,$0.35,1.45%,12.90%,-2.10%,-38.05%,Energy,$156.03 M
784,IXR,Ionic Rare EARTHS Ltd,$0.04,2.56%,2.56%,-20.00%,73.91%,Materials,$154.9 M
785,FEX,FENIX Resources Ltd,$0.30,0.00%,0.00%,-4.76%,-11.77%,Materials,$154.86 M
787,PET,Phoslock Environmental Technologies Ltd,$0.25,0.00%,0.00%,0.00%,0.00%,Industrials,$152.98 M
788,CII,Ci Resources Ltd,$1.32,7.76%,14.78%,8.20%,10.00%,Materials,$152.57 M
789,GNX,GENEX Power Ltd,$0.11,0.00%,-8.33%,-21.43%,-51.11%,Utilities,$152.37 M
790,BKT,Black Rock Mining Ltd,$0.16,0.00%,3.33%,-22.50%,14.82%,Materials,$151.47 M
792,RCE,Recce Pharmaceuticals Ltd,$0.85,10.39%,50.44%,7.60%,-7.10%,Health Care,$151 M
793,TNT,Tesserent Ltd,$0.12,4.35%,20.00%,-11.11%,-51.02%,Information Technology,$150.98 M
794,SXE,Southern Cross Electrical Engineering Ltd,$0.58,0.00%,-0.86%,-3.33%,5.46%,Industrials,$150.8 M
796,CVL,Civmec Ltd,$0.62,0.00%,-1.59%,-2.36%,-4.62%,Industrials,$148.05 M
797,AXE,Archer Materials Ltd,$0.60,-4.03%,-2.46%,-17.36%,-34.62%,Information Technology,$147.84 M
798,ERD,Eroad Ltd,$1.33,-6.99%,-13.92%,-43.40%,-76.25%,Information Technology,$147.28 M
800,RCT,Reef Casino Trust,$3.00,0.00%,2.74%,-0.99%,18.11%,Consumer Discretionary,$147.18 M
801,ERF,Elanor Retail Property Fund,$1.15,0.00%,9.52%,6.48%,-6.12%,Real Estate,$146.87 M
802,COI,Comet Ridge Ltd,$0.17,-2.86%,9.68%,-10.53%,174.19%,Energy,$146.21 M
804,ALC,Alcidion Group Ltd,$0.12,-4.17%,4.55%,-20.69%,-72.09%,Health Care,$145.83 M
805,MCA,Murray Cod Australia Ltd,$0.19,0.00%,31.03%,-13.64%,-51.28%,Consumer Staples,$145.4 M
806,SMP,Smartpay Holdings Ltd,$0.61,0.00%,4.27%,2.52%,-24.69%,Information Technology,$145.35 M
807,CCV,Cash Converters International,$0.23,-2.13%,0.00%,-6.12%,6.98%,Financials,$144.34 M
808,IPG,Ipd Group Ltd,$1.67,-0.30%,11.00%,15.63%,38.75%,Industrials,$143.67 M
810,LPI,Lithium Power International Ltd,$0.41,0.00%,9.33%,-27.43%,134.29%,Materials,$143.15 M
811,MME,Moneyme Ltd,$0.60,3.45%,-13.04%,-48.72%,-71.96%,Financials,$142.71 M
812,CAA,Capral Ltd,$8.02,3.62%,14.41%,-10.89%,9.86%,Materials,$142.49 M
813,PTB,PTB Group Ltd,$1.11,3.74%,8.82%,-3.90%,53.10%,Industrials,$141.2 M
814,MIH,MNC Media Investment Ltd,$3.60,0.00%,0.00%,0.00%,0.00%,Communication Services,$141.09 M
815,POS,Poseidon Nickel Ltd,$0.05,0.00%,4.55%,-33.33%,-41.03%,Materials,$140.94 M
816,ARL,Ardea Resources Ltd,$0.83,3.75%,-2.35%,-28.45%,58.86%,Materials,$140.88 M
817,ICT,Icollege Ltd,$0.13,8.33%,18.18%,18.18%,8.33%,Consumer Discretionary,$140.76 M
818,GOW,Gowing Bros Ltd,$2.64,1.54%,-0.38%,-8.97%,12.82%,Financials,$140.74 M
819,WGO,Warrego Energy Ltd,$0.12,-4.17%,-4.17%,-11.54%,-50.00%,Energy,$140.66 M
820,QGL,Quantum Graphite Ltd,$0.48,-3.03%,14.29%,6.67%,841.18%,Materials,$140.64 M
822,EOL,Energy One Ltd,$5.10,7.37%,16.44%,-7.10%,-21.66%,Information Technology,$140.43 M
823,HPG,Hipages Group Holdings Ltd,$1.07,5.42%,20.90%,-7.76%,-63.73%,Communication Services,$140.18 M
824,EGH,Eureka Group Holdings Ltd,$0.59,-1.67%,-1.67%,-6.35%,-1.67%,Real Estate,$139.94 M
825,FLN,Freelancer Ltd,$0.31,19.23%,34.78%,3.33%,-74.17%,Industrials,$139.88 M
826,MGV,Musgrave Minerals Ltd,$0.26,-1.89%,-13.33%,-16.13%,-27.78%,Materials,$139.66 M
827,IOD,Iodm Ltd,$0.24,14.29%,6.67%,-11.11%,9.09%,Information Technology,$139.63 M
828,ATA,Atturra Ltd,$0.70,-0.71%,17.80%,-2.80%,39.00%,Information Technology,$139.38 M
829,FSA,FSA Group Ltd,$1.11,-0.45%,0.46%,-8.68%,6.76%,Financials,$139.21 M
831,EGN,Engenco Ltd,$0.44,0.00%,0.00%,-5.38%,-17.76%,Industrials,$138.82 M
832,FOR,Forager Australian Shares Fund,$1.27,0.79%,2.01%,-7.30%,-23.95%,Financials,$138.74 M
833,BOC,Bougainville Copper Ltd,$0.35,1.47%,-1.43%,-13.75%,-33.65%,Materials,$138.37 M
834,CAU,Cronos Australia Ltd,$0.25,4.17%,11.11%,-3.85%,127.27%,Health Care,$137.66 M
835,RKN,Reckon Ltd,$1.22,0.83%,1.25%,0.41%,54.78%,Information Technology,$137.65 M
837,ADO,Anteotech Ltd,$0.07,-8.00%,0.00%,-30.30%,-74.91%,Health Care,$137.16 M
839,EPY,Earlypay Ltd,$0.48,1.06%,9.20%,-11.22%,1.06%,Financials,$136.39 M
840,ANO,Advance Zinctek Ltd,$2.21,0.00%,5.24%,4.74%,-40.27%,Materials,$135.52 M
841,TRS,The Reject Shop Ltd,$3.53,7.95%,14.61%,-4.08%,-35.70%,Consumer Discretionary,$135.29 M
842,LEG,Legend Mining Ltd,$0.05,2.08%,-2.00%,-31.94%,-51.00%,Materials,$135 M
843,MTO,Motorcycle Holdings Ltd,$2.18,3.32%,18.80%,-12.80%,-22.70%,Consumer Discretionary,$134.52 M
844,CNB,Carnaby Resources Ltd,$0.93,-3.63%,29.17%,-3.13%,165.71%,Materials,$134.44 M
845,CLG,Close the Loop Ltd,$0.40,0.00%,23.08%,12.68%,33.33%,Industrials,$134.18 M
846,AND,Ansarada Group Ltd,$1.50,3.45%,11.11%,-16.67%,32.74%,Information Technology,$134 M
847,ANG,Austin Engineering Ltd,$0.23,2.22%,4.55%,-9.80%,64.29%,Industrials,$133.8 M
848,DTZ,DOTZ Nano Ltd,$0.30,0.00%,-7.69%,-4.76%,-13.04%,Information Technology,$133.4 M
850,EGR,Ecograf Ltd,$0.30,9.26%,7.27%,-29.76%,-48.70%,Materials,$132.85 M
851,GTK,Gentrack Group Ltd,$1.32,1.54%,3.53%,-12.58%,-30.89%,Information Technology,$132.63 M
852,A2B,A2B Australia Ltd,$1.09,3.81%,7.92%,0.93%,-9.17%,Industrials,$132.14 M
853,RDT,Red Dirt Metals Ltd,$0.43,8.86%,32.31%,-24.56%,152.94%,Materials,$130.96 M
854,CYL,Catalyst Metals Ltd,$1.32,3.94%,-2.94%,-14.84%,-32.65%,Materials,$129.96 M
855,CNEW,Vaneck China New Economy ETF,$8.26,-0.60%,2.61%,15.36%,-12.87%,Financials,$128.99 M
856,WXHG,SPDR S&P World Ex Aus Carbon Control (Hedged) Fund,$25.20,-0.28%,5.93%,-2.59%,-13.31%,Financials,$128.79 M
857,FLC,Fluence Corporation Ltd,$0.20,-5.95%,-8.14%,-22.55%,1.28%,Industrials,$128.48 M
858,WAT,Waterco Ltd,$3.60,0.00%,3.45%,-1.37%,24.14%,Consumer Discretionary,$127.78 M
859,ART,Airtasker Ltd,$0.29,-6.45%,-7.94%,-29.27%,-73.39%,Communication Services,$127.64 M
860,ACF,Acrow Formwork and Construction Services Ltd,$0.50,0.00%,17.65%,9.89%,31.58%,Industrials,$127.57 M
861,ARA,Ariadne Australia Ltd,$0.65,0.00%,3.18%,-7.14%,18.18%,Industrials,$127.56 M
862,LRS,Latin Resources Ltd,$0.07,-2.94%,10.00%,-42.61%,37.50%,Materials,$127.38 M
863,NTD,National Tyre & Wheel Ltd,$0.97,2.66%,2.66%,-7.21%,-10.23%,Consumer Discretionary,$127.32 M
864,SSG,Shaver Shop Group Ltd,$0.97,0.00%,0.00%,-5.37%,-2.51%,Consumer Discretionary,$127.08 M
865,IVZ,Invictus Energy Ltd,$0.17,0.00%,3.03%,-17.07%,6.25%,Energy,$126.91 M
866,G6M,Group 6 Metals Ltd,$0.20,-4.76%,14.29%,-18.37%,-16.67%,Materials,$126.15 M
867,AVL,Australian Vanadium Ltd,$0.03,-3.03%,-5.88%,-27.27%,68.42%,Materials,$126.11 M
868,TGF,Tribeca Global Natural Resources Ltd,$2.05,0.49%,-1.44%,-23.51%,-8.48%,Financials,$126.08 M
869,QIP,QANTM Intellectual Property Ltd,$0.92,-0.54%,-1.61%,-8.50%,-21.12%,Industrials,$125.81 M
870,AR1,Austral Resources Australia Ltd,$0.51,-9.74%,18.61%,30.77%,155.00%,Materials,$125.06 M
871,DRE,Dreadnought Resources Ltd,$0.04,10.00%,4.76%,0.00%,83.33%,Materials,$124.9 M
872,CLNE,Vaneck Global Clean Energy ETF,$8.65,1.17%,6.14%,5.36%,-16.02%,Financials,$124.56 M
873,RDG,Resource Development Group Ltd,$0.04,-2.27%,2.38%,-10.42%,-6.52%,Industrials,$124.06 M
874,CYG,Coventry Group Ltd,$1.35,7.57%,15.88%,5.47%,-5.59%,Industrials,$123.43 M
875,FWD,Fleetwood Ltd,$1.31,-3.68%,-13.53%,-19.39%,-41.52%,Consumer Discretionary,$123.4 M
876,CD3,CD Private Equity Fund Iii,$1.71,3.64%,21.28%,6.88%,13.25%,Financials,$123.17 M
877,DSE,Dropsuite Ltd,$0.18,0.00%,9.09%,0.00%,-5.26%,Information Technology,$122.74 M
878,CKA,Cokal Ltd,$0.13,4.00%,4.00%,-3.70%,124.14%,Materials,$122.06 M
879,M7T,MACH7 Technologies Ltd,$0.51,-8.93%,5.16%,-14.29%,-51.43%,Health Care,$121.8 M
880,REX,Regional Express Holdings Ltd,$1.10,5.77%,9.45%,-5.17%,-8.33%,Industrials,$121.17 M
881,EXR,Elixir Energy Ltd,$0.14,-3.57%,3.85%,-6.90%,-44.90%,Energy,$120.38 M
882,MBH,Maggie Beer Holdings Ltd,$0.34,-0.73%,13.33%,-9.33%,-13.92%,Consumer Staples,$119.46 M
883,AVH,Avita Medical Inc,$1.58,-2.48%,20.23%,2.94%,-71.67%,Health Care,$119.38 M
884,PLT,Plenti Group Ltd,$0.70,2.19%,14.75%,1.45%,-48.53%,Financials,$119.11 M
885,SEC,Spheria Emerging Companies Ltd,$1.97,0.25%,7.65%,-7.51%,-15.81%,Financials,$118.5 M
886,AMN,Agrimin Ltd,$0.41,1.24%,-3.53%,-17.17%,1.45%,Materials,$117.81 M
887,TBN,Tamboran Resources Ltd,$0.22,-4.35%,7.32%,-15.39%,-45.00%,Energy,$117.71 M
888,EMV,Emvision Medical Devices Ltd,$1.52,-1.30%,16.92%,-18.72%,-46.10%,Health Care,$117.7 M
889,LVH,Livehire Ltd,$0.40,1.94%,49.06%,31.67%,9.72%,Information Technology,$117.44 M
890,ESGI,Vaneck MSCI International Sustainable Equity ETF,$26.65,0.04%,4.84%,-2.24%,-6.62%,Financials,$117.37 M
891,IRD,Iron Road Ltd,$0.15,0.00%,-3.33%,-19.44%,-44.23%,Materials,$115.85 M
892,LCY,Legacy Iron Ore Ltd,$0.02,-5.26%,-10.00%,-25.00%,38.46%,Materials,$115.32 M
893,EER,East Energy Resources Ltd,$0.04,0.00%,0.00%,0.00%,0.00%,Energy,$115.24 M
894,DRX,Diatreme Resources Ltd,$0.03,-3.03%,-15.79%,28.00%,52.38%,Materials,$115.12 M
895,ABY,Adore Beauty Group Ltd,$1.22,0.00%,15.64%,-11.59%,-73.25%,Consumer Discretionary,$114.83 M
896,LAU,Lindsay Australia Ltd,$0.38,-1.30%,-3.80%,-5.00%,1.33%,Industrials,$114.76 M
897,BBC,BNK Banking Corporation Ltd,$0.97,-1.02%,-2.02%,-13.78%,29.33%,Financials,$114.66 M
898,NVA,Nova Minerals Ltd,$0.64,10.44%,11.40%,0.00%,-49.20%,Materials,$114.43 M
899,CAM,Clime Capital Ltd,$0.82,-0.61%,1.88%,-4.12%,-14.66%,Financials,$114.29 M
900,EP1,E&P Financial Group Ltd,$0.48,2.13%,-5.88%,-12.73%,-28.36%,Financials,$114.09 M
901,IPX,Iperionx Ltd,$0.81,-7.96%,-0.61%,3.85%,-4.71%,Materials,$113.63 M
902,VHT,Volpara Health Technologies Ltd,$0.45,11.11%,-4.26%,-40.79%,-61.54%,Health Care,$113.37 M
903,MDX,Mindax Ltd,$0.06,0.00%,0.00%,0.00%,-20.27%,Materials,$113.26 M
904,ARR,American Rare EARTHS Ltd,$0.29,23.91%,23.91%,-16.18%,265.39%,Materials,$112.78 M
905,AHX,Apiam Animal Health Ltd,$0.67,-2.56%,-3.96%,-13.31%,-28.24%,Health Care,$112.76 M
906,TOT,360 Capital REIT,$0.80,0.63%,2.56%,-10.11%,-17.95%,Financials,$112.55 M
907,GT1,Green Technology Metals Ltd,$0.63,-0.79%,-10.07%,-32.43%,150.00%,Materials,$112.47 M
908,PYG,Paygroup Ltd,$0.95,0.00%,160.27%,163.89%,106.52%,Information Technology,$112.41 M
909,BWX,BWX Ltd,$0.70,-40.60%,-39.83%,-50.00%,-87.25%,Consumer Staples,$112.17 M
910,SPY,SPDR S&P 500 ETF Trust,$561.20,-0.35%,6.59%,-1.02%,-0.37%,Financials,$111.68 M
911,PTX,Prescient Therapeutics Ltd,$0.17,3.03%,6.25%,3.03%,-17.07%,Health Care,$111.23 M
912,88E,88 Energy Ltd,$0.01,0.00%,-22.22%,-36.36%,-75.00%,Energy,$111.2 M
913,RYD,Ryder Capital Ltd,$1.30,-0.39%,3.60%,-8.80%,-26.42%,Financials,$110.3 M
914,URF,US Masters Residential Property Fund,$0.28,5.77%,-3.51%,0.00%,10.00%,Real Estate,$110.26 M
915,IPD,Impedimed Ltd,$0.06,3.33%,1.64%,-25.30%,-43.64%,Health Care,$110.23 M
916,RAP,Resapp Health Ltd,$0.13,2.00%,-27.14%,15.91%,210.98%,Health Care,$109.61 M
917,EL8,Elevate Uranium Ltd,$0.40,1.28%,1.28%,-16.84%,27.42%,Energy,$108.82 M
918,BLU,Blue Energy Ltd,$0.07,-1.39%,-8.97%,-6.58%,7.58%,Energy,$108.5 M
919,SND,Saunders International Ltd,$1.02,0.00%,9.09%,-5.56%,29.11%,Industrials,$108.27 M
920,CE1,Calima Energy Ltd,$0.18,6.06%,-5.41%,-12.50%,-2.78%,Energy,$107.87 M
921,4DS,4DS Memory Ltd,$0.07,1.39%,0.00%,-27.00%,-49.66%,Information Technology,$106.76 M
922,DSK,Dusk Group Ltd,$1.71,-0.58%,-8.56%,-12.53%,-52.63%,Consumer Discretionary,$106.48 M
923,BBT,Bluebet Holdings Ltd,$0.53,12.77%,37.66%,-3.64%,-53.51%,Consumer Discretionary,$106.06 M
924,MVP,Medical Developments International Ltd,$1.49,0.00%,-10.00%,-41.30%,-68.20%,Health Care,$105.89 M
925,CCR,Credit Clear Ltd,$0.36,-4.05%,-8.97%,-23.66%,-32.38%,Information Technology,$105.65 M
926,STM,Sunstone Metals Ltd,$0.04,-8.89%,7.90%,-24.07%,173.33%,Materials,$105.55 M
927,DRA,DRA Global Ltd,$1.95,0.00%,-0.26%,-11.59%,-50.76%,Industrials,$105.35 M
